player,minute,second,x,y,type,outcome,endX,endY
messi,45,0,41,54,Pass,Successful,30,46
messi,45,25,70,58,Pass,Successful,83,80
messi,46,4,84,58,Pass,Successful,66,64
messi,46,7,66,58,Pass,Successful,95,81
messi,46,55,100,1,Pass,Unsuccessful,96,28
messi,47,42,68,15,Pass,Successful,79,63
messi,49,47,69,35,Pass,Unsuccessful,83,33
messi,50,10,72,27,Pass,Successful,90,17
messi,50,17,85,61,Pass,Successful,93,69
messi,50,24,98,64,Pass,Unsuccessful,98,51
messi,55,22,24,16,Pass,Successful,32,17
messi,56,24,35,40,Pass,Successful,34,59
messi,56,36,53,34,Pass,Successful,35,65
messi,56,43,64,68,Pass,Successful,66,59
messi,57,2,96,35,Pass,Successful,91,40
messi,62,25,39,51,Pass,Successful,36,42
messi,62,31,39,75,Pass,Successful,52,96
messi,63,36,74,29,Pass,Successful,68,10
messi,63,40,76,7,Pass,Successful,67,9
messi,63,42,61,6,Pass,Successful,69,9
messi,63,43,71,4,Pass,Successful,62,9
messi,63,48,64,4,Pass,Successful,62,9
messi,66,27,75,37,Pass,Successful,76,48
messi,67,40,67,56,Pass,Unsuccessful,89,37
messi,68,19,62,77,Pass,Successful,54,72
messi,69,25,77,88,Pass,Successful,63,68
messi,71,29,67,33,Pass,Successful,73,55
messi,71,46,80,63,Pass,Successful,96,69
messi,73,44,45,43,Pass,Successful,51,42
messi,76,11,71,37,Pass,Successful,68,32
messi,76,25,71,49,Pass,Unsuccessful,81,44
messi,77,59,100,100,Pass,Successful,92,96
messi,78,3,90,96,Pass,Successful,61,85
messi,78,9,91,96,Pass,Successful,89,73
messi,78,58,68,46,Pass,Successful,65,75
messi,79,5,62,71,Pass,Successful,75,49
messi,79,19,71,51,Pass,Successful,80,96
messi,79,31,76,92,Pass,Successful,71,81
messi,80,26,100,1,Pass,Successful,92,5
messi,80,30,76,3,Pass,Successful,68,17
messi,81,14,58,4,Pass,Successful,76,4
messi,81,20,70,6,Pass,Successful,73,23
messi,83,14,74,48,Pass,Unsuccessful,88,57
messi,87,24,59,40,Pass,Successful,75,83
messi,88,22,100,1,Pass,Successful,72,20
messi,90,18,70,17,Pass,Unsuccessful,91,55
messi,91,18,68,26,Pass,Successful,70,27
messi,91,46,83,36,Pass,Unsuccessful,82,44
messi,94,7,57,32,Pass,Unsuccessful,90,56
